Time_s,BCL_Filtered,BCC_Filtered
8.3105,5.25512141426274e-06,3.80239451994289e-06
8.311,5.35305703144427e-06,6.69522426899909e-06
8.3115,4.29532117781642e-06,1.01438798062199e-05
8.312,3.08525277987701e-06,1.30277318681685e-05
8.3125,2.2897048780169e-06,1.45622200951411e-05
8.313,1.5871915249374e-06,1.40845513565365e-05
8.3135,5.48672365384681e-07,1.13561185187654e-05
8.314,-5.55899273837841e-07,6.9925231172059e-06
8.3145,-9.88471787011572e-07,2.30442577344368e-06
8.315,-4.16698183537137e-07,-1.2999254610956e-06
8.3155,7.31105519929409e-07,-2.72717100255413e-06
8.316,1.75900897603636e-06,-1.60749238593827e-06
8.3165,2.23854192279325e-06,8.11352474474813e-07
8.317,2.02265049946343e-06,1.50534023475245e-06
8.3175,1.17576915437305e-06,-2.06926391545318e-06
8.318,1.349532792868e-07,-9.1973219178453e-06
8.3185,-4.6748797317092e-07,-1.6641050594673e-05
8.319,-4.91523877298365e-07,-2.24118394001919e-05
8.3195,-4.68005979928086e-07,-2.73938170433807e-05
8.32,-8.09983777417502e-07,-3.28906531478019e-05
8.3205,-1.27374697674211e-06,-3.82769914571726e-05
8.321,-1.49977842103194e-06,-4.2086863987396e-05
8.3215,-1.54306850379508e-06,-4.42189421459558e-05
8.322,-1.37236185593771e-06,-4.57579815046099e-05
8.3225,-2.66939088675928e-07,-4.70255163643623e-05
8.323,2.56744116783664e-06,-4.69093375543232e-05
8.3235,6.7165540770209e-06,-4.43358242422659e-05
8.324,1.04368395079925e-05,-3.97438641533069e-05
8.3245,1.22029578122772e-05,-3.4542656916654e-05
8.325,1.21188669648516e-05,-2.93396979933377e-05
8.3255,1.13510642418726e-05,-2.34357393932994e-05
8.326,1.0400715568935e-05,-1.6221817583256e-05
8.3265,8.66541154523566e-06,-8.29246568947141e-06
8.327,5.75605341777833e-06,-6.48224118137689e-07
8.3275,2.43167738465695e-06,6.60573740818158e-06
8.328,-1.6586035337905e-07,1.39825263458856e-05
8.3285,-1.63477520225672e-06,2.12472788480773e-05
8.329,-2.27550472387646e-06,2.70779047152485e-05
8.3295,-2.43779323828147e-06,3.02418430322084e-05
8.33,-2.39619522325571e-06,3.07511505322452e-05
8.3305,-2.56254438888495e-06,2.97972854282867e-05
8.331,-3.34548918453418e-06,2.87166761535759e-05
8.3315,-4.85458792964701e-06,2.79995665339203e-05
8.332,-6.91616144122621e-06,2.73719223206296e-05
8.3325,-9.18059103906125e-06,2.68728122781905e-05
8.333,-1.10681448729299e-05,2.72518332030897e-05
8.3335,-1.19814511574209e-05,2.88672395845796e-05
8.334,-1.19130960956925e-05,3.10146037307983e-05
8.3345,-1.15322507236811e-05,3.30887251095513e-05
8.335,-1.13146403436644e-05,3.54036613795319e-05
8.3355,-1.09267260235289e-05,3.7729199098227e-05
8.336,-9.87426873695067e-06,3.7946290380355e-05
8.3365,-8.43250202691524e-06,3.36769357196037e-05
8.337,-7.44902597160841e-06,2.49771931647932e-05
8.3375,-7.40140330696102e-06,1.43731953458024e-05
8.338,-8.05494653172928e-06,4.47526625405062e-06
8.3385,-8.86634084021976e-06,-3.67040554242164e-06
8.339,-9.28155837517688e-06,-1.02426275543595e-05
8.3395,-8.79324953913864e-06,-1.56984169531861e-05
8.34,-7.22081932743578e-06,-2.04658720630809e-05
8.3405,-5.00834385133774e-06,-2.50221402574903e-05
8.341,-2.95941744398677e-06,-2.95233717943459e-05
8.3415,-1.47898587544514e-06,-3.30947773585185e-05
8.342,-1.80575651494439e-08,-3.41725291821841e-05
8.3425,2.54893010984447e-06,-3.25146047304112e-05
8.343,6.61177024547415e-06,-3.0576418416618e-05
8.3435,1.08810731338335e-05,-3.14608787668861e-05
8.344,1.32834461840432e-05,-3.52049735994775e-05
8.3445,1.31405302831614e-05,-3.84472003946757e-05
8.345,1.22045754451286e-05,-3.8172726912991e-05
8.3455,1.31695917550474e-05,-3.44004338946436e-05
8.346,1.70852017812514e-05,-2.88766845599964e-05
8.3465,2.21621192716814e-05,-2.29712571442937e-05
8.347,2.48378570183657e-05,-1.77243881136941e-05
8.3475,2.21062196305054e-05,-1.42684358002915e-05
8.348,1.37106754357348e-05,-1.27128460435885e-05
8.3485,2.83405443204626e-06,-1.13493134392038e-05
8.349,-5.89989795586164e-06,-8.23085743376492e-06
8.3495,-1.0179188893717e-05,-3.52218405435211e-06
8.35,-1.17162064157502e-05,3.8804879958306e-07
8.3505,-1.34597763569916e-05,1.19997397735142e-06
8.351,-1.54420910999747e-05,-1.23457367864242e-06
8.3515,-1.46319350460611e-05,-5.00401763039256e-06
8.352,-9.02375165369416e-06,-7.5833618525571e-06
8.3525,-6.32260302493677e-07,-7.17743981330356e-06
8.353,6.20357858120894e-06,-3.76605074862614e-06
8.3535,8.70221146913892e-06,4.28616007830912e-07
8.354,7.05420958426391e-06,2.22275115440499e-06
8.3545,2.50990111680173e-06,1.02531950855574e-07
8.355,-4.49427556985658e-06,-4.50207592741688e-06
8.3555,-1.34672958112662e-05,-8.66136722507694e-06
8.356,-2.20364586042458e-05,-1.0181556207553e-05
8.3565,-2.67880173353286e-05,-8.53718347832671e-06
8.357,-2.63708996092527e-05,-4.62214366358826e-06
8.3575,-2.25282630169354e-05,1.04740367156745e-07
8.358,-1.75064591024167e-05,5.11249369948742e-06
