Time_s,BCL_Envelope_Raw,BCC_Envelope_Raw
24.44,7.4823638052644e-06,3.70616135279494e-05
24.4405,7.48004194454744e-06,3.70424780531716e-05
24.441,7.47776512497715e-06,3.70224438071076e-05
24.4415,7.47553553957561e-06,3.70015102806027e-05
24.442,7.47335537760361e-06,3.69796771366175e-05
24.4425,7.47122682394053e-06,3.69569442115467e-05
24.443,7.46915205845953e-06,3.69333115164927e-05
24.4435,7.46713325539791e-06,3.69087792384938e-05
24.444,7.46517258272268e-06,3.68833477417062e-05
24.4445,7.46327220149121e-06,3.68570175685419e-05
24.445,7.461434265207e-06,3.68297894407606e-05
24.4455,7.4596609191705e-06,3.68016642605187e-05
24.446,7.45795429982496e-06,3.6772643111373e-05
24.4465,7.45631653409736e-06,3.67427272592428e-05
24.447,7.45474973873425e-06,3.67119181533292e-05
24.4475,7.45325601963269e-06,3.66802174269927e-05
24.448,7.45183747116598e-06,3.66476268985906e-05
24.4485,7.45049617550448e-06,3.66141485722745e-05
24.449,7.44923420193126e-06,3.65797846387479e-05
24.4495,7.44805360615296e-06,3.65445374759859e-05
24.45,7.44695642960566e-06,3.65084096499172e-05
24.4505,7.44594469875635e-06,3.64714039150679e-05
24.451,7.4450204244e-06,3.64335232151689e-05
24.4515,7.44418560095272e-06,3.63947706837268e-05
24.452,7.44344220574141e-06,3.63551496445575e-05
24.4525,7.44279219829033e-06,3.63146636122842e-05
24.453,7.44223751960497e-06,3.62733162927988e-05
24.4535,7.44178009145387e-06,3.62311115836873e-05
24.454,7.44142181564859e-06,3.61880535746182e-05
24.4545,7.44116457332263e-06,3.61441465476957e-05
24.455,7.44101022420963e-06,3.60993949777758e-05
24.4555,7.44096060592148e-06,3.60538035327466e-05
24.456,7.44101753322704e-06,3.60073770737725e-05
24.4565,7.44118279733194e-06,3.59601206555015e-05
24.457,7.4414581651603e-06,3.59120395262378e-05
24.4575,7.44184537863897e-06,3.58631391280763e-05
24.458,7.44234615398484e-06,3.58134250970022e-05
